exp_id,fault_type,target_service,t_inject,n_raw_alerts,n_slices,acr,detected,mttd_sec
20260519-163019-network-gateway,NETWORK,ts-gateway-service,1779179419,4,2,0.5,True,41.0
20260519-163414-cpu-gateway,CPU,ts-gateway-service,1779179654,8,1,0.875,True,1.0
20260519-164343-network-ui-dashboard,NETWORK,ts-ui-dashboard,1779180223,25,1,0.96,True,2.0
20260519-164737-cpu-basic,CPU,ts-basic-service,1779180457,8,1,0.875,True,8.0
20260519-165200-cpu-admin-user,CPU,ts-admin-user-service,1779180724,8,1,0.875,True,11.0
20260519-165600-cpu-preserve,CPU,ts-preserve-service,1779180960,11,1,0.9090909090909091,True,15.0
20260519-165955-network-admin-user,NETWORK,ts-admin-user-service,1779181195,0,0,0.0,False,
20260519-170350-cpu-seat,CPU,ts-seat-service,1779181430,8,1,0.875,True,10.0
20260519-170745-cpu-admin-basic-info,CPU,ts-admin-basic-info-service,1779181665,10,1,0.9,True,15.0
20260519-171141-network-preserve,NETWORK,ts-preserve-service,1779181902,0,0,0.0,False,
20260519-171537-cpu-admin-order,CPU,ts-admin-order-service,1779182137,7,2,0.7142857142857143,True,8.0
20260519-171932-cpu-basic,CPU,ts-basic-service,1779182372,7,1,0.8571428571428572,True,13.0
20260519-172327-network-seat,NETWORK,ts-seat-service,1779182608,4,3,0.25,True,32.0
20260519-172722-network-basic,NETWORK,ts-basic-service,1779182842,0,0,0.0,False,
20260519-173116-cpu-seat,CPU,ts-seat-service,1779183078,7,1,0.8571428571428572,True,27.0
20260519-173513-network-seat,NETWORK,ts-seat-service,1779183313,8,4,0.5,True,17.0
20260519-173909-cpu-admin-order,CPU,ts-admin-order-service,1779183549,7,1,0.8571428571428572,True,6.0
20260519-174304-cpu-gateway,CPU,ts-gateway-service,1779183785,9,1,0.8888888888888888,True,10.0
20260519-174701-cpu-admin-order,CPU,ts-admin-order-service,1779184021,8,2,0.75,True,14.0
20260519-175058-cpu-admin-user,CPU,ts-admin-user-service,1779184258,12,1,0.9166666666666666,True,2.0
20260519-175454-cpu-admin-order,CPU,ts-admin-order-service,1779184494,7,1,0.8571428571428572,True,6.0
20260519-175849-network-admin-order,NETWORK,ts-admin-order-service,1779184730,4,1,0.75,False,
20260519-180246-network-ui-dashboard,NETWORK,ts-ui-dashboard,1779184966,25,1,0.96,True,14.0
20260519-180643-network-preserve,NETWORK,ts-preserve-service,1779185203,1,1,0.0,True,32.0
20260519-181039-network-admin-order,NETWORK,ts-admin-order-service,1779185439,1,1,0.0,True,36.0
20260519-181436-network-admin-user,NETWORK,ts-admin-user-service,1779185676,0,0,0.0,False,
20260519-181833-cpu-gateway,CPU,ts-gateway-service,1779185913,9,1,0.8888888888888888,True,12.0
20260519-182230-network-basic,NETWORK,ts-basic-service,1779186150,1,1,0.0,True,120.0
20260519-182627-cpu-basic,CPU,ts-basic-service,1779186387,9,1,0.8888888888888888,True,3.0
20260519-183024-cpu-seat,CPU,ts-seat-service,1779186625,9,2,0.7777777777777778,True,5.0
20260519-183422-network-gateway,NETWORK,ts-gateway-service,1779186863,2,1,0.5,True,52.0
20260519-183820-network-admin-order,NETWORK,ts-admin-order-service,1779187100,1,1,0.0,False,
20260519-184221-cpu-gateway,CPU,ts-gateway-service,1779187341,9,2,0.7777777777777778,True,9.0
20260519-184618-cpu-ui-dashboard,CPU,ts-ui-dashboard,1779187578,25,1,0.96,True,12.0
20260519-185014-cpu-preserve,CPU,ts-preserve-service,1779187815,9,2,0.7777777777777778,True,15.0
20260519-185413-cpu-admin-basic-info,CPU,ts-admin-basic-info-service,1779188054,7,1,0.8571428571428572,True,1.0
20260519-185812-network-admin-order,NETWORK,ts-admin-order-service,1779188292,2,2,0.0,True,48.0
20260519-190209-network-gateway,NETWORK,ts-gateway-service,1779188530,3,1,0.6666666666666667,True,5.0
20260519-190607-cpu-basic,CPU,ts-basic-service,1779188768,7,1,0.8571428571428572,True,7.0
20260519-191004-cpu-gateway,CPU,ts-gateway-service,1779189007,8,2,0.75,True,8.0
20260519-191405-network-admin-user,NETWORK,ts-admin-user-service,1779189245,5,1,0.8,True,55.0
20260519-191800-network-basic,NETWORK,ts-basic-service,1779189481,2,2,0.0,True,74.0
20260519-192159-network-seat,NETWORK,ts-seat-service,1779189719,3,1,0.6666666666666667,True,1.0
20260519-192557-network-preserve,NETWORK,ts-preserve-service,1779189958,1,1,0.0,True,137.0
20260519-192956-network-admin-basic-info,NETWORK,ts-admin-basic-info-service,1779190197,3,1,0.6666666666666667,True,63.0
20260519-193359-cpu-preserve,CPU,ts-preserve-service,1779190439,6,1,0.8333333333333334,True,16.0
20260519-193759-network-admin-basic-info,NETWORK,ts-admin-basic-info-service,1779190679,1,1,0.0,False,
20260519-194157-network-gateway,NETWORK,ts-gateway-service,1779190918,2,2,0.0,True,2.0
20260519-194557-cpu-ui-dashboard,CPU,ts-ui-dashboard,1779191157,25,1,0.96,True,3.0
20260519-194956-cpu-preserve,CPU,ts-preserve-service,1779191396,7,1,0.8571428571428572,True,4.0
20260519-195354-cpu-ui-dashboard,CPU,ts-ui-dashboard,1779191635,25,1,0.96,True,5.0
20260519-195754-network-ui-dashboard,NETWORK,ts-ui-dashboard,1779191874,25,1,0.96,True,6.0
20260519-200153-network-preserve,NETWORK,ts-preserve-service,1779192113,0,0,0.0,False,
20260519-200555-cpu-admin-user,CPU,ts-admin-user-service,1779192355,7,1,0.8571428571428572,True,5.0
20260519-200955-cpu-ui-dashboard,CPU,ts-ui-dashboard,1779192595,25,1,0.96,True,5.0
20260519-201354-network-ui-dashboard,NETWORK,ts-ui-dashboard,1779192834,25,1,0.96,True,6.0
20260519-201753-network-seat,NETWORK,ts-seat-service,1779193074,8,2,0.75,True,6.0
20260519-202154-network-basic,NETWORK,ts-basic-service,1779193314,0,0,0.0,False,
20260519-202554-cpu-seat,CPU,ts-seat-service,1779193554,10,1,0.9,True,6.0
20260519-202951-network-gateway,NETWORK,ts-gateway-service,1779193792,0,0,0.0,False,
